number,name,status
1,PEP 1 – PEP Purpose and Guidelines,Unknown
20,PEP 20 – The Zen of Python,Unknown
676,PEP 676 – PEP Infrastructure Process,Unknown
609,PEP 609 – Python Packaging Authority (PyPA) Governance,Unknown
761,PEP 761 – Deprecating PGP signatures for CPython artifacts,Unknown
731,PEP 731 – C API Working Group Charter,Unknown
729,PEP 729 – Typing governance process,Unknown
732,PEP 732 – The Python Documentation Editorial Board,Unknown
602,PEP 602 – Annual Release Cycle for Python,Unknown
8,PEP 8 – Style Guide for Python Code,Unknown
545,PEP 545 – Python Documentation Translations,Unknown
387,PEP 387 – Backwards Compatibility Policy,Unknown
13,PEP 13 – Python Language Governance,Unknown
10,PEP 10 – Voting Guidelines,Unknown
766,PEP 766 – Explicit Priority Choices Among Multiple Indexes,Unknown
11,PEP 11 – CPython platform support,Unknown
12,PEP 12 – Sample reStructuredText PEP Template,Unknown
446,PEP 446 – Make newly created file descriptors non-inheritable,Unknown
445,PEP 445 – Add new APIs to customize Python memory allocators,Unknown
466,PEP 466 – Network Security Enhancements for Python 2.7.x,Unknown
479,PEP 479 – Change StopIteration handling inside generators,Unknown
484,PEP 484 – Type Hints,Unknown
486,PEP 486 – Make the Python Launcher aware of virtual environments,Unknown
485,PEP 485 – A Function for testing approximate equality,Unknown
477,PEP 477 – Backport ensurepip (PEP 453) to Python 2.7,Unknown
528,PEP 528 – Change Windows console encoding to UTF-8,Unknown
544,PEP 544 – Protocols: Structural subtyping (static duck typing),Unknown
552,PEP 552 – Deterministic pycs,Unknown
560,PEP 560 – Core support for typing module and generic types,Unknown
540,PEP 540 – Add a new UTF-8 Mode,Unknown
557,PEP 557 – Data Classes,Unknown
553,PEP 553 – Built-in breakpoint(),Unknown
567,PEP 567 – Context Variables,Unknown
591,PEP 591 – Adding a final qualifier to typing,Unknown
594,PEP 594 – Removing dead batteries from the standard library,Unknown
593,PEP 593 – Flexible function and variable annotations,Unknown
614,PEP 614 – Relaxing Grammar Restrictions On Decorators,Unknown
612,PEP 612 – Parameter Specification Variables,Unknown
610,PEP 610 – Recording the Direct URL Origin of installed distributions,Unknown
623,PEP 623 – Remove wstr from Unicode,Unknown
632,PEP 632 – Deprecate distutils module,Unknown
613,PEP 613 – Explicit Type Aliases,Unknown
652,PEP 652 – Maintaining the Stable ABI,Unknown
654,PEP 654 – Exception Groups and except*,Unknown
660,PEP 660 – Editable installs for pyproject.toml based builds (wheel based),Unknown
675,PEP 675 – Arbitrary Literal String Type,Unknown
678,PEP 678 – Enriching Exceptions with Notes,Unknown
673,PEP 673 – Self Type,Unknown
670,PEP 670 – Convert macros to functions in the Python C API,Unknown
680,PEP 680 – tomllib: Support for Parsing TOML in the Standard Library,Unknown
688,PEP 688 – Making the buffer protocol accessible in Python,Unknown
685,PEP 685 – Comparison of extra names for optional distribution dependencies,Unknown
706,PEP 706 – Filter for tarfile.extractall,Unknown
737,PEP 737 – C API to format a type fully qualified name,Unknown
758,PEP 758 – Allow ,Unknown
757,PEP 757 – C API to import-export Python integers,Unknown
738,PEP 738 – Adding Android as a supported platform,Unknown
740,PEP 740 – Index support for digital attestations,Unknown
734,PEP 734 – Multiple Interpreters in the Stdlib,Unknown
735,PEP 735 – Dependency Groups in pyproject.toml,Unknown
751,PEP 751 – A file format to record Python dependencies for installation reproducibility,Unknown
3141,PEP 3141 – A Type Hierarchy for Numbers,Unknown
3137,PEP 3137 – Immutable Bytes and Mutable Buffer,Unknown
3131,PEP 3131 – Supporting Non-ASCII Identifiers,Unknown
3138,PEP 3138 – String representation in Python 3000,Unknown
3134,PEP 3134 – Exception Chaining and Embedded Tracebacks,Unknown
3132,PEP 3132 – Extended Iterable Unpacking,Unknown
3135,PEP 3135 – New Super,Unknown
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,Unknown
541,PEP 541 – Package Index Name Retention,Unknown
269,PEP 269 – Pgen Module for Python,Unknown
267,PEP 267 – Optimized Access to Module Namespaces,Unknown
213,PEP 213 – Attribute Access Handlers,Unknown
219,PEP 219 – Stackless Python,Unknown
323,PEP 323 – Copyable Iterators,Unknown
233,PEP 233 – Python Online Help,Unknown
222,PEP 222 – Web Library Enhancements,Unknown
3124,"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",Unknown
211,PEP 211 – Adding A New Outer Product Operator,Unknown
216,PEP 216 – Docstring Format,Unknown
224,PEP 224 – Attribute Docstrings,Unknown
225,PEP 225 – Elementwise/Objectwise Operators,Unknown
220,"PEP 220 – Coroutines, Generators, Continuations",Unknown
210,PEP 210 – Decoupling the Interpreter Loop,Unknown
215,PEP 215 – String Interpolation,Unknown
241,PEP 241 – Metadata for Python Software Packages,Unknown
239,PEP 239 – Adding a Rational Type to Python,Unknown
266,PEP 266 – Optimizing Global Variable/Attribute Access,Unknown
288,PEP 288 – Generators Attributes and Exceptions,Unknown
276,PEP 276 – Simple Iterator for ints,Unknown
284,PEP 284 – Integer for-loops,Unknown
275,PEP 275 – Switching on Multiple Values,Unknown
281,PEP 281 – Loop Counter Iteration with range and xrange,Unknown
297,PEP 297 – Support for System Upgrades,Unknown
296,PEP 296 – Adding a bytes Object Type,Unknown
354,PEP 354 – Enumerations in Python,Unknown
355,PEP 355 – Path - Object oriented filesystem paths,Unknown
367,PEP 367 – New Super,Unknown
365,PEP 365 – Adding the pkg_resources module,Unknown
364,PEP 364 – Transitioning to the Py3K Standard Library,Unknown
369,PEP 369 – Post import hooks,Unknown
382,PEP 382 – Namespace Packages,Unknown
386,PEP 386 – Changing the version comparison module in Distutils,Unknown
481,"PEP 481 – Migrate CPython to Git, Github, and Phabricator",Unknown
490,PEP 490 – Chain exceptions at C level,Unknown
504,PEP 504 – Using the System RNG by default,Unknown
502,PEP 502 – String Interpolation - Extended Discussion,Unknown
500,PEP 500 – A protocol for delegating datetime methods to their tzinfo implementations,Unknown
501,PEP 501 – General purpose template literal strings,Unknown
511,PEP 511 – API for code transformers,Unknown
510,PEP 510 – Specialize functions with guards,Unknown
606,PEP 606 – Python Compatibility Version,Unknown
605,PEP 605 – A rolling feature release stream for CPython,Unknown
633,PEP 633 – Dependency specification in pyproject.toml using an exploded TOML table,Unknown
637,PEP 637 – Support for indexing with keyword arguments,Unknown
640,PEP 640 – Unused variable syntax,Unknown
650,PEP 650 – Specifying Installer Requirements for Python Projects,Unknown
648,PEP 648 – Extensible customizations of the interpreter at startup,Unknown
631,PEP 631 – Dependency specification in pyproject.toml based on PEP 508,Unknown
3130,PEP 3130 – Access to Current Module/Class/Function,Unknown
8013,PEP 8013 – The External Council Governance Model,Unknown
3146,PEP 3146 – Merging Unladen Swallow into CPython,Unknown
8010,PEP 8010 – The Technical Leader Governance Model,Unknown
